Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),4.6,"ektello
4.6","New York, NY","Troy, MI",201 to 500 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Analyst-Data Integrity,$51K-$87K (Glassdoor est.),3,"Premier, Inc.
3.0","New York, NY","Charlotte, NC",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","New York, NY","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Analyst,$51K-$87K (Glassdoor est.),3,"Fund for Public Health
3.0","Long Island City, NY","New York, NY",201 to 500 employees,Social Assistance,Non-Profit,$25 to $50 million (USD)
Data & Service Health Analyst,$51K-$87K (Glassdoor est.),4.2,"BlueVoyant
4.2","New York, NY","New York, NY",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data/Systems Analyst,$51K-$87K (Glassdoor est.),5,"Crossfire Consulting Corporation
5.0","New York, NY","Yorktown Heights, NY",51 to 200 employees,Consulting,Business Services,$5 to $10 million (USD)
Data Analyst,$51K-$87K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$51K-$87K (Glassdoor est.),-1,Hyde Leadership Brooklyn,"Brooklyn, NY","Brooklyn, NY",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$51K-$87K (Glassdoor est.),-1,Vertex Intel Systems,"Jersey City, NJ",-1,-1,-1,-1,-1
Data Analyst Intern,$51K-$87K (Glassdoor est.),3.6,"My Job Tank
3.6","Jersey City, NJ","New York, NY",51 to 200 employees,IT Services,Information Technology,Unknown / Non-Applicable
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),3.7,"Cowen
3.7","New York, NY","New York, NY",501 to 1000 employees,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
Data Reporting Analyst,$51K-$87K (Glassdoor est.),3.5,"Robert Half
3.5","New York, NY","Menlo Park, CA",10000+ employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Data Analyst,$51K-$87K (Glassdoor est.),2.8,"FJA-US Inc.
2.8","New York, NY","New York, NY",51 to 200 employees,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Data Analyst,$51K-$87K (Glassdoor est.),5,"Averity
5.0","New York, NY","New York, NY",1 to 50 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Capgemini
3.8","Jersey City, NJ","Paris, France",10000+ employees,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
ERP Data Analyst,$51K-$87K (Glassdoor est.),3.4,"Wildlife Conservation Society
3.4","New York, NY","Bronx, NY",1001 to 5000 employees,Social Assistance,Non-Profit,$100 to $500 million (USD)
Data Analyst,$51K-$87K (Glassdoor est.),3.6,"Asembia
3.6","Florham Park, NJ","Florham Park, NJ",501 to 1000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD)
Healthcare Data/Reporting Analyst,$51K-$87K (Glassdoor est.),-1,Vesta Healthcare,"New York, NY","New York, NY",1 to 50 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
PBM Data Analyst,$51K-$87K (Glassdoor est.),3.2,"1199SEIU Funds
3.2","New York, NY","New York, NY",1001 to 5000 employees,Insurance Carriers,Insurance,$100 to $500 million (USD)
Data Analyst (Temporary Assignment),$59K-$85K (Glassdoor est.),3.8,"Nutrafol
3.8","New York, NY","New York, NY",51 to 200 employees,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
Data Analyst,$59K-$85K (Glassdoor est.),3.5,"New York Life Insurance Co
3.5","New York, NY","New York, NY",10000+ employees,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD)
